ID,Sex,BirthYear
Uts_16A_070,2,2012
Uts_16A_071,2,2012
Uts_16A_072,2,2010
Uts_16A_073,2,2010
Uts_16A_074,2,2011
Uts_16A_075,2,2010
Uts_16A_076,2,2012
Uts_16A_077,1,2011
Uts_16A_078,2,2012
Uts_16A_079,2,2011
Uts_16A_080,2,2012
Uts_16A_081,2,2012
Uts_16A_082,2,2012
Uts_16A_083,2,2012
Uts_16A_084,2,2012
Uts_16A_085,2,2011
Uts_16A_086,2,2012
Uts_16A_087,2,2010
Uts_16A_088,2,2010
Uts_16A_089,2,2012
Uts_16A_090,2,2012
Uts_16A_091,1,2011
Uts_16A_092,2,2011
Uts_16A_093,2,2012
Uts_16A_094,2,2012
Uts_16A_095,2,2011
Uts_16A_096,1,2010
Uts_16A_097,2,2011
Uts_16A_098,2,2010
Uts_16A_099,2,2011
Uts_16A_100,2,2012
Uts_16A_101,2,2010
Uts_16A_102,1,2010
Uts_16A_103,2,2011
Uts_16A_104,2,2012
Uts_16A_105,1,2011
Uts_16A_106,2,2011
Uts_16A_107,2,2012
Uts_16A_108,1,2011
Uts_16A_109,2,2010
Uts_16A_110,2,2012
Uts_16A_111,2,2008
Uts_16A_112,1,2011
Uts_16A_113,2,2011
Uts_16A_114,2,2010
Uts_16A_115,1,2011
Uts_16A_116,2,2012
Uts_16A_117,2,2011
Uts_17A_001,2,2012
Uts_17A_002,1,2009
Uts_17A_003,2,2013
Uts_17A_004,2,2012
Uts_17A_005,1,2010
Uts_17A_006,2,2013
Uts_17A_007,1,2010
Uts_17A_008,2,2012
Uts_17A_009,2,2011
Uts_17A_010,1,2011
Uts_17A_011,2,2011
Uts_17A_012,2,2012
Uts_17A_013,2,2012
Uts_17A_014,2,2013
Uts_17A_015,2,2010
Uts_17A_016,2,2010
Uts_17A_017,2,2009
Uts_17A_018,1,2010
Uts_17A_019,2,2012
Uts_17A_020,2,2013
Uts_17A_021,2,2011
Uts_17A_022,2,2012
Uts_17A_023,2,2012
Uts_17A_024,2,2012
Uts_17A_025,2,2012
Uts_17A_026,1,2011
Uts_17A_027,2,2013
Uts_17A_028,2,2010
Uts_17A_029,2,2012
Uts_17A_030,2,2012
Uts_17A_031,1,2011
Uts_17A_032,2,2012
Uts_17A_033,2,2012
Uts_17A_034,2,2012
Uts_17A_035,2,2007
Uts_17A_036,2,2013
Uts_17A_037,2,2012
Uts_17A_038,2,2011
Uts_17A_039,2,2010
Uts_17A_040,2,2011
Uts_17A_041,2,2011
Uts_17A_042,2,2012
Uts_17A_043,2,2012
Uts_17A_044,2,2010
Uts_17A_045,2,2012
Uts_17A_046,1,2011
Uts_17A_047,2,2012
Uts_17A_048,2,2012
Uts_17A_049,2,2012
Uts_17A_050,2,2011
Uts_17A_051,2,2013
Uts_17A_052,2,2013
Uts_17A_053,2,2011
Uts_17A_054,2,2013
Uts_17A_055,2,2013
Uts_17A_056,1,2011
Uts_17A_057,2,2012
Uts_17A_058,2,2013
Uts_17A_059,2,2013
Uts_17A_060,2,2012
Uts_17A_061,2,2011
Uts_17A_062,2,2013
Uts_17A_063,2,2012
Uts_17A_064,2,2012
Uts_17A_065,2,2012
Uts_17A_066,1,2011
Uts_17A_067,2,2012
Uts_17A_068,2,2011
Uts_17A_069,2,2012
Uts_17A_070,2,2012
Uts_17A_071,2,2010
Uts_17A_072,1,2011
Uts_17A_073,1,2011
Uts_17A_074,1,2011
Uts_17A_075,1,2010
Uts_17A_076,2,2012
Uts_17A_077,1,2011
Uts_17A_078,1,2010
Uts_17A_079,2,2011
Uts_17A_080,2,2013
Uts_17A_081,2,2013
Uts_17A_082,2,2011
Uts_17A_083,2,2012
Uts_17A_084,2,2012
Uts_17A_085,2,2010
Uts_17A_086,2,2012
Uts_17A_087,2,2010
Uts_17A_088,2,2011
Uts_17A_089,2,2013
Uts_17A_090,1,2011
Uts_17A_091,2,2013
Uts_17A_092,2,2012
Uts_17A_093,2,2011
Uts_17A_094,2,2012
Uts_17A_095,2,2012
Uts_17A_096,1,2009
Uts_17A_097,2,2011
Uts_17A_098,1,2011
Uts_18A_001,2,2012
Uts_18A_002,2,2014
Uts_18A_003,2,2013
Uts_18A_004,2,2014
Uts_18A_005,2,2014
Uts_18A_006,2,2014
Uts_18A_007,2,2013
Uts_18A_008,2,2013
Uts_18A_009,2,2012
Uts_18A_010,2,2014
Uts_18A_011,2,2014
Uts_18A_012,2,2014
Uts_18A_013,2,2014
Uts_18A_014,2,2013
Uts_18A_015,2,2013
Uts_18A_016,2,2014
Uts_18A_017,2,2014
Uts_18A_018,2,2014
Uts_18A_019,2,2013
Uts_18A_020,2,2014
Uts_18A_021,1,2012
Uts_18A_022,2,2014
Uts_18A_023,2,2014
Uts_18A_024,2,2014
Uts_18A_025,2,2014
Uts_18A_026,2,2014
Uts_18A_027,2,2014
Uts_18A_028,2,2014
Uts_18A_029,2,2012
Uts_18A_030,2,2013
Uts_18A_031,2,2014
Uts_18A_032,2,2014
Uts_18A_033,2,2014
Uts_18A_034,2,2013
Uts_18A_035,2,2012
Uts_18A_036,2,2014
Uts_18A_037,2,2012
Uts_18A_038,1,2012
Uts_18A_039,2,2013
Uts_18A_040,2,2014
Uts_18A_041,2,2013
Uts_18A_042,1,2011
Uts_18A_043,2,2014
Uts_18A_044,2,2014
Uts_18A_045,1,2012
Uts_18A_046,2,2014
Uts_18A_047,2,2013
Uts_18A_048,2,2013
Uts_18A_049,2,2014
Uts_18A_050,2,2014
Uts_18A_051,2,2012
Uts_18A_052,2,2012
Uts_18A_053,2,2014
Uts_18A_054,2,2012
Uts_18A_055,2,2013
Uts_18A_056,2,2014
Uts_18A_057,2,2013
Uts_18A_058,2,2013
Uts_18A_059,2,2010
Uts_18A_060,1,2012
Uts_18A_061,2,2014
Uts_18A_062,2,2014
Uts_18A_063,2,2013
Uts_18A_064,2,2014
Uts_18A_065,2,2013
Uts_18A_066,2,2013
Uts_18A_067,2,2013
Uts_18A_068,2,2013
Uts_18A_069,2,2014
Uts_18A_070,2,2014
Uts_18A_071,1,2011
Uts_18A_072,2,2013
Uts_18A_073,2,2013
Uts_18A_074,2,2014
Uts_18A_075,2,2013
Uts_18A_076,2,2013
Uts_18A_077,2,2013
Uts_18A_078,2,2012
Uts_18A_079,2,2014
Uts_18A_080,1,2012
Uts_18A_081,2,2012
Uts_18A_082,2,2014
Uts_18A_083,2,2014
Uts_18A_084,2,2014
Uts_18A_085,2,2013
Uts_18A_086,2,2013
Uts_18A_087,2,2014
Uts_18A_088,1,2012
Uts_18A_089,2,2013
Uts_18A_090,2,2013
Uts_18A_091,2,2012
Uts_18A_092,2,2013
Uts_18A_093,2,2012
Uts_18A_094,2,2013
