"","ID","year","OffspID.ext","class","class.cor","Code","new_site_code","date","sample.date","box.info","Cap.no","Cap.notes.org","Ext.notes","other.notes","ID.tube","length.cm","scale.reading","scale.age","mature.male.parr","recapture","notes.fi","notes.eng"
"105","Uts_16_3y_0005",2016,"UTS_16_3y_0005","3y","2-3y",2,2,"9/2/2016","9/2/2016","BOX 37 3+, UTSJOKI 2016 SALMON, 2.9. UTSJOKI VANHA UOMA, 1-5, 5.9. HOTELLIN NIVA, 6, 6.9. HOTELLIN NIVA, YLÄOSA, 7-9, 7.9. SILLAN YLÄPUOLI, LÄNSIRANTA, 10-18, 8.9. SILLAN ALAPUOLI, ITÄRANTA, 19-25, 8.9. KYLÄTALON SÄRKÄT, 26, 8.9. POIKKISÄRKÄN YLÄPUOLI, LÄNSIRANTA, 27-30, 9.9. HOTELLIN NIVA, VASTARANTA, 31-40, 12.9. POIKKISÄRKKÄ, 41-44, 13.9. VAAHTOKOSTESÄRKKÄ, 45, + Ptec.MALES 46,47,48, LO345",5,"5","ECG_071","",5,14.4,"",NA,NA,NA,"kaikki reg. 3+???","all regenrating scales"
"106","Uts_16_2y_0006",2016,"UTS_16_2y_0006","2y","2-3y",2,2,"9/2/2016","9/2/2016","BOX 36 2+, UTSJOKI 2016 SALMON, 2.9. UTSJOEN VANHA UOMA, 1-8, 5.9. HOTELLIN NIVA, 9, 7.9. SILLAN YLÄPUOLI, LÄNSIRANTA 10-15, 8.9. KYLÄTALON SÄRKÄT, 20-21, 9.9. HOTELLIN NIVA, VASTARANTA, 16-19, 8.9. SILLAN ALAPUOLI, ITÄRANTA, 22 , 8.9. POIKKISÄRKÄN YLÄPUOLI, LÄNSIRANTA 23-24, 12.9. POIKKISÄRKKÄ, 25-29, 13.9. VAAHTOKOSTESÄRKKÄ, 30-36, LO344",6,"6.(pencil)","ECG_071","",6,12,"2+",2,NA,NA,"",""
"107","Uts_16_3y_0003",2016,"UTS_16_3y_0003","3y","2-3y",2,2,"9/2/2016","9/2/2016","BOX 37 3+, UTSJOKI 2016 SALMON, 2.9. UTSJOKI VANHA UOMA, 1-5, 5.9. HOTELLIN NIVA, 6, 6.9. HOTELLIN NIVA, YLÄOSA, 7-9, 7.9. SILLAN YLÄPUOLI, LÄNSIRANTA, 10-18, 8.9. SILLAN ALAPUOLI, ITÄRANTA, 19-25, 8.9. KYLÄTALON SÄRKÄT, 26, 8.9. POIKKISÄRKÄN YLÄPUOLI, LÄNSIRANTA, 27-30, 9.9. HOTELLIN NIVA, VASTARANTA, 31-40, 12.9. POIKKISÄRKKÄ, 41-44, 13.9. VAAHTOKOSTESÄRKKÄ, 45, + Ptec.MALES 46,47,48, LO345",7,"7(pencil)","ECG_071","",7,13.4,"3+",3,NA,NA,"",""
"108","Uts_16_1y_0008",2016,"UTS_16_1y_0008","1y","1y",2,2,"9/2/2016","","BOX 31 1+, UTSJOKI2016 SALMON, 2.9.2016, UTSJOEN VANHA UOMA, 1-8, 5.9.2016, HOTELLIN NIVA, 9-26, 6.9.2016, HOTELLIN NIVA, 27-50, 7.9.2016 SILLAN YLÄPUOLI, LÄNSIRANTA 51-81, LO339",8,"8","ECG_67","",NA,NA,"",NA,NA,NA,"",""
"109","Uts_16_2y_0008",2016,"UTS_16_2y_0008","2y","2-3y",2,2,"9/2/2016","","BOX 36 2+, UTSJOKI 2016 SALMON, 2.9. UTSJOEN VANHA UOMA, 1-8, 5.9. HOTELLIN NIVA, 9, 7.9. SILLAN YLÄPUOLI, LÄNSIRANTA 10-15, 8.9. KYLÄTALON SÄRKÄT, 20-21, 9.9. HOTELLIN NIVA, VASTARANTA, 16-19, 8.9. SILLAN ALAPUOLI, ITÄRANTA, 22 , 8.9. POIKKISÄRKÄN YLÄPUOLI, LÄNSIRANTA 23-24, 12.9. POIKKISÄRKKÄ, 25-29, 13.9. VAAHTOKOSTESÄRKKÄ, 30-36, LO344",8,"8","ECG_071","",NA,NA,"",NA,NA,NA,"",""
"110","Uts_16_3y_0004",2016,"UTS_16_3y_0004","3y","2-3y",2,2,"9/2/2016","9/2/2016","BOX 37 3+, UTSJOKI 2016 SALMON, 2.9. UTSJOKI VANHA UOMA, 1-5, 5.9. HOTELLIN NIVA, 6, 6.9. HOTELLIN NIVA, YLÄOSA, 7-9, 7.9. SILLAN YLÄPUOLI, LÄNSIRANTA, 10-18, 8.9. SILLAN ALAPUOLI, ITÄRANTA, 19-25, 8.9. KYLÄTALON SÄRKÄT, 26, 8.9. POIKKISÄRKÄN YLÄPUOLI, LÄNSIRANTA, 27-30, 9.9. HOTELLIN NIVA, VASTARANTA, 31-40, 12.9. POIKKISÄRKKÄ, 41-44, 13.9. VAAHTOKOSTESÄRKKÄ, 45, + Ptec.MALES 46,47,48, LO345",8,"8(pencil)","ECG_071","",8,13,"2+",2,NA,NA,"",""
"111","Uts_16_0y_0035",2016,"UTS_16_0y_0035","0y","0y",2,2,"9/2/2016","","BOX 1 0+, UTSJOKI 2016 SALMON, 2.9.2016 UTSJOEN VANHA UOMA 1-35, 5.9.2016 HOTELLIN NIVA 36-81, LO309",35,"35","ECG_041","",NA,NA,"",NA,NA,NA,"",""
"112","Uts_16_3y_0006",2016,"UTS_16_3y_0006","3y","2-3y",14,16,"9/5/2016","","BOX 37 3+, UTSJOKI 2016 SALMON, 2.9. UTSJOKI VANHA UOMA, 1-5, 5.9. HOTELLIN NIVA, 6, 6.9. HOTELLIN NIVA, YLÄOSA, 7-9, 7.9. SILLAN YLÄPUOLI, LÄNSIRANTA, 10-18, 8.9. SILLAN ALAPUOLI, ITÄRANTA, 19-25, 8.9. KYLÄTALON SÄRKÄT, 26, 8.9. POIKKISÄRKÄN YLÄPUOLI, LÄNSIRANTA, 27-30, 9.9. HOTELLIN NIVA, VASTARANTA, 31-40, 12.9. POIKKISÄRKKÄ, 41-44, 13.9. VAAHTOKOSTESÄRKKÄ, 45, + Ptec.MALES 46,47,48, LO345",6,"6","ECG_071","",NA,NA,"",NA,NA,NA,"",""
"113","Uts_16_1y_0009",2016,"UTS_16_1y_0009","1y","1y",14,16,"9/5/2016","","BOX 31 1+, UTSJOKI2016 SALMON, 2.9.2016, UTSJOEN VANHA UOMA, 1-8, 5.9.2016, HOTELLIN NIVA, 9-26, 6.9.2016, HOTELLIN NIVA, 27-50, 7.9.2016 SILLAN YLÄPUOLI, LÄNSIRANTA 51-81, LO339",9,"9","ECG_67","",NA,NA,"",NA,NA,NA,"",""
"114","Uts_16_2y_0009",2016,"UTS_16_2y_0009","2y","2-3y",14,16,"9/5/2016","","BOX 36 2+, UTSJOKI 2016 SALMON, 2.9. UTSJOEN VANHA UOMA, 1-8, 5.9. HOTELLIN NIVA, 9, 7.9. SILLAN YLÄPUOLI, LÄNSIRANTA 10-15, 8.9. KYLÄTALON SÄRKÄT, 20-21, 9.9. HOTELLIN NIVA, VASTARANTA, 16-19, 8.9. SILLAN ALAPUOLI, ITÄRANTA, 22 , 8.9. POIKKISÄRKÄN YLÄPUOLI, LÄNSIRANTA 23-24, 12.9. POIKKISÄRKKÄ, 25-29, 13.9. VAAHTOKOSTESÄRKKÄ, 30-36, LO344",9,"9","ECG_071","",NA,NA,"",NA,NA,NA,"",""
