"","ID","sex","type","class.cor","year","BirthYear","scale.seaage","Scale.smoltage","InterpAge","Respawner","respawner.info","total.age","total.age.int","birthyear.int"
"64","Uts_12A_010","M","Adult","Adult",2012,2006,1,NA,1,0,NA,NA,5,2007
"65","Uts_12A_011","M","Adult","Adult",2012,2006,1,5,1,0,NA,6,6,2006
"66","Uts_12A_012","M","Adult","Adult",2012,2007,1,4,1,0,NA,5,5,2007
"67","Uts_12A_013","M","Adult","Adult",2012,2006,1,5,1,0,NA,6,6,2006
"68","Uts_12A_014","M","Adult","Adult",2012,2007,1,4,1,0,NA,5,5,2007
"69","Uts_12A_015","M","Adult","Adult",2012,2007,1,4,1,0,NA,5,5,2007
"70","Uts_12A_016","M","Adult","Adult",2012,2007,1,4,1,0,NA,5,5,2007
"71","Uts_12A_017","M","Adult","Adult",2012,2006,3,3,3,0,NA,6,6,2006
"72","Uts_12A_018","F","Adult","Adult",2012,2004,5,4,5,1,30,9,9,2003
"73","Uts_12A_019","F","Adult","Adult",2012,2007,2,3,2,0,NA,5,5,2007
"74","Uts_12A_020","M","Adult","Adult",2012,2007,1,4,1,0,NA,5,5,2007
"75","Uts_12A_021","F","Adult","Adult",2012,2007,2,3,2,0,NA,5,5,2007
"76","Uts_12A_022","M","Adult","Adult",2012,2006,1,5,1,0,NA,6,6,2006
"77","Uts_12A_023","M","Adult","Adult",2012,2008,1,3,1,0,NA,4,4,2008
"78","Uts_12A_024","M","Adult","Adult",2012,2006,NA,NA,4,NA,NA,NA,8,2004
"79","Uts_12A_025","M","Adult","Adult",2012,2006,1,5,1,0,NA,6,6,2006
"80","Uts_12A_026","M","Adult","Adult",2012,2007,1,4,1,0,NA,5,5,2007
"81","Uts_12A_027","F","Adult","Adult",2012,2007,1,4,1,0,NA,5,5,2007
"82","Uts_12A_028","M","Adult","Adult",2012,2007,1,4,1,0,NA,5,5,2007
"83","Uts_12A_029","M","Adult","Adult",2012,2008,1,3,1,0,NA,4,4,2008
"84","Uts_12A_030","F","Adult","Adult",2012,2007,2,3,2,0,NA,5,5,2007
"85","Uts_12A_031","M","Adult","Adult",2012,2007,1,4,1,0,NA,5,5,2007
"86","Uts_12A_032","M","Adult","Adult",2012,2008,1,3,1,0,NA,4,4,2008
"87","Uts_12A_033","M","Adult","Adult",2012,2006,NA,NA,3,NA,NA,NA,7,2005
"88","Uts_12A_034","M","Adult","Adult",2012,2007,2,3,2,0,NA,5,5,2007
"89","Uts_12A_035","M","Adult","Adult",2012,2007,1,4,1,0,NA,5,5,2007
"90","Uts_12A_036","M","Adult","Adult",2012,2007,3,3,3,1,10,6,6,2006
"91","Uts_13A_001","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"92","Uts_13A_002","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"93","Uts_13A_003","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"94","Uts_13A_004","F","Adult","Adult",2013,2007,3,3,3,0,NA,6,6,2007
"95","Uts_13A_005","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"96","Uts_13A_006","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"97","Uts_13A_007","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"98","Uts_13A_008","M","Adult","Adult",2013,2007,1,5,1,0,NA,6,6,2007
"99","Uts_13A_009","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"100","Uts_13A_010","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"101","Uts_13A_011","M","Adult","Adult",2013,2009,1,3,1,0,NA,4,4,2009
"102","Uts_13A_012","F","Adult","Adult",2013,2007,NA,NA,1,NA,NA,NA,5,2008
"103","Uts_13A_013","M","Adult","Adult",2013,2007,3,NA,3,0,NA,NA,7,2006
"104","Uts_13A_014","M","Adult","Adult",2013,2007,1,5,1,0,NA,6,6,2007
"105","Uts_13A_015","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"106","Uts_13A_016","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"107","Uts_13A_017","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"108","Uts_13A_018","M","Adult","Adult",2013,2007,1,5,1,0,NA,6,6,2007
"109","Uts_13A_019","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"110","Uts_13A_020","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"111","Uts_13A_021","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"112","Uts_13A_022","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"113","Uts_13A_023","M","Adult","Adult",2013,2006,3,4,3,0,NA,7,7,2006
"114","Uts_13A_024","M","Adult","Adult",2013,2007,3,NA,3,0,NA,NA,7,2006
"115","Uts_13A_025","M","Adult","Adult",2013,2009,1,3,1,0,NA,4,4,2009
"116","Uts_13A_026","M","Adult","Adult",2013,2009,1,3,1,0,NA,4,4,2009
"117","Uts_13A_027","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"118","Uts_13A_028","M","Adult","Adult",2013,2007,2,4,2,0,NA,6,6,2007
"119","Uts_13A_029","M","Adult","Adult",2013,2007,3,4,3,1,10,7,7,2006
"120","Uts_13A_030","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
